INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../code/RBM_interface_tb.cpp in debug mode
   Compiling ../../../code/RBM_interface.cpp in debug mode
   Generating csim.exe
vector_out = 
num = 0, data = 0.000, axis_last = 0
, num = 220, data = 220.000, axis_last = 0
, num = 221, data = 221.000, axis_last = 0
, num = 222, data = 222.000, axis_last = 0
, num = 223, data = 223.000, axis_last = 0
, num = 224, data = 224.000, axis_last = 0
, num = 225, data = 225.000, axis_last = 0
, num = 226, data = 226.000, axis_last = 0
, num = 227, data = 227.000, axis_last = 0
, num = 228, data = 228.000, axis_last = 0
, num = 229, data = 229.000, axis_last = 0
, num = 230, data = 230.000, axis_last = 0
, num = 231, data = 231.000, axis_last = 0
, num = 232, data = 232.000, axis_last = 0
, num = 233, data = 233.000, axis_last = 0
, num = 234, data = 234.000, axis_last = 0
, num = 235, data = 235.000, axis_last = 0
, num = 236, data = 236.000, axis_last = 0
, num = 237, data = 237.000, axis_last = 0
, num = 238, data = 238.000, axis_last = 0
, num = 239, data = 239.000, axis_last = 0
, num = 240, data = 240.000, axis_last = 0
, num = 241, data = 241.000, axis_last = 0
, num = 242, data = 242.000, axis_last = 0
, num = 243, data = 243.000, axis_last = 0
, num = 244, data = 244.000, axis_last = 0
, num = 245, data = 245.000, axis_last = 0
, num = 246, data = 246.000, axis_last = 0
, num = 247, data = 247.000, axis_last = 0
, num = 248, data = 248.000, axis_last = 0
, num = 249, data = 249.000, axis_last = 0
, num = 250, data = 250.000, axis_last = 0
, num = 251, data = 251.000, axis_last = 0
, num = 252, data = 252.000, axis_last = 0
, num = 253, data = 253.000, axis_last = 0
, num = 254, data = 254.000, axis_last = 0
, num = 255, data = 255.000, axis_last = 0
, num = 256, data = 256.000, axis_last = 0
, num = 257, data = 257.000, axis_last = 0
, num = 258, data = 258.000, axis_last = 0
, num = 259, data = 259.000, axis_last = 0
, num = 260, data = 260.000, axis_last = 0
, num = 261, data = 261.000, axis_last = 0
, num = 262, data = 262.000, axis_last = 0
, num = 263, data = 263.000, axis_last = 0
, num = 264, data = 264.000, axis_last = 0
, num = 265, data = 265.000, axis_last = 0
, num = 266, data = 266.000, axis_last = 0
, num = 267, data = 267.000, axis_last = 0
, num = 268, data = 268.000, axis_last = 0
, num = 269, data = 269.000, axis_last = 0
, num = 270, data = 270.000, axis_last = 0
, num = 271, data = 271.000, axis_last = 0
, num = 272, data = 272.000, axis_last = 0
, num = 273, data = 273.000, axis_last = 0
, num = 274, data = 274.000, axis_last = 0
, num = 275, data = 275.000, axis_last = 0
, num = 276, data = 276.000, axis_last = 0
, num = 277, data = 277.000, axis_last = 0
, num = 278, data = 278.000, axis_last = 0
, num = 279, data = 279.000, axis_last = 0
, num = 280, data = 280.000, axis_last = 0
, num = 281, data = 281.000, axis_last = 0
, num = 282, data = 282.000, axis_last = 0
, num = 283, data = 283.000, axis_last = 0
, num = 284, data = 284.000, axis_last = 0
, num = 285, data = 285.000, axis_last = 0
, num = 286, data = 286.000, axis_last = 0
, num = 287, data = 287.000, axis_last = 0
, num = 288, data = 288.000, axis_last = 0
, num = 289, data = 289.000, axis_last = 0
, num = 290, data = 290.000, axis_last = 0
, num = 291, data = 291.000, axis_last = 0
, num = 292, data = 292.000, axis_last = 0
, num = 293, data = 293.000, axis_last = 0
, num = 294, data = 294.000, axis_last = 0
, num = 295, data = 295.000, axis_last = 0
, num = 296, data = 296.000, axis_last = 0
, num = 297, data = 297.000, axis_last = 0
, num = 298, data = 298.000, axis_last = 0
, num = 299, data = 299.000, axis_last = 0
, num = 300, data = 300.000, axis_last = 0
, num = 301, data = 301.000, axis_last = 0
, num = 302, data = 302.000, axis_last = 0
, num = 303, data = 303.000, axis_last = 0
, num = 304, data = 304.000, axis_last = 0
, num = 305, data = 305.000, axis_last = 0
, num = 306, data = 306.000, axis_last = 0
, num = 307, data = 307.000, axis_last = 0
, num = 308, data = 308.000, axis_last = 0
, num = 309, data = 309.000, axis_last = 0
, num = 310, data = 310.000, axis_last = 0
, num = 311, data = 311.000, axis_last = 0
, num = 312, data = 312.000, axis_last = 0
, num = 313, data = 313.000, axis_last = 0
, num = 314, data = 314.000, axis_last = 0
, num = 315, data = 315.000, axis_last = 0
, num = 316, data = 316.000, axis_last = 0
, num = 317, data = 317.000, axis_last = 0
, num = 318, data = 318.000, axis_last = 0
, num = 319, data = 319.000, axis_last = 1
, 
=========================================================================
WARNING [HLS SIM]: hls::stream 'hls::stream<stream_data_v_t, 0>0' contains leftover data, which may result in RTL simulation hanging.
INFO [HLS SIM]: The maximum depth reached by any hls::stream() instance in the design is 320
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
